Indutor;R2;RMSE;MAE
Random Forest;0,9734268551963167;282068,82737971965;197570,2457990741
Bagging;0,9732553605657366;283384,23530897597;198956,3673796296
Árvore de Decisão;0,9716859218067222;292954,2351422235;201786,45648148147
Boosting;0,9588188814863894;355387,73504185333;266704,35069813335
Stacking;0,9528977442603255;373438,1991932929;269714,3551631595
Regressão Linear;0,9406734506258798;416491,82642883016;326771,43703259167
KNN;0,8788175760218639;554113,6220341717;336861,1842777778
Blending;0,8311595015296909;739001,3766283807;540971,2459286985
Ensemble (Média);0,7588477010609651;851052,5779043176;562111,7740882202
SVM;-0,3695235950347639;2037125,4283935537;1320189,325327834
MLP;-1,6618816957964822;2838059,6551828706;2223259,8647096767
